Presion,Temperatura,v,u,h,s,,
8000,800,0.061011,3635.7,4123.8,7.5185,,
8000,900,0.067082,3832.7,4369.3,7.7372,,
8000,1000,0.073079,4035,4619.6,7.9419,,
8000,1100,0.079025,4242.8,4875,8.135,,
8000,1200,0.084934,4456.1,5135.5,8.3181,,
8000,1300,0.090817,4674.5,5401,8.4925,,
9000,303.35,0.020489,2558.5,2742.9,5.6791,,
9000,325,0.023284,2647.6,2857.1,5.8738,,
9000,350,0.025816,2725,2957.3,6.038,,
9000,400,0.02996,2849.2,3118.8,6.2876,,
9000,450,0.033524,2956.3,3258,6.4872,,
9000,500,0.036793,3056.3,3387.4,6.6603,,
9000,550,0.039885,3153,3512,6.8164,,
9000,600,0.042861,3248.4,3634.1,6.9605,,
9000,650,0.045755,3343.4,3755.2,7.0954,,
9000,700,0.048589,3438.8,3876.1,7.2229,,
9000,800,0.054132,3632,4119.2,7.4606,,
9000,900,0.059562,3829.6,4365.7,7.6802,,
9000,1000,0.064919,4032.4,4616.7,7.8855,,
9000,1100,0.070224,4240.7,4872.7,8.0791,,
9000,1200,0.075492,4454.2,5133.6,8.2625,,
9000,1300,0.080733,4672.9,5399.5,8.4371,,
10000,311,0.018028,2545.2,2725.5,5.6159,,
10000,325,0.019877,2611.6,2810.3,5.7596,,
10000,350,0.02244,2699.6,2924,5.946,,
10000,400,0.026436,2833.1,3097.5,6.2141,,
10000,450,0.029782,2944.5,3242.4,6.4219,,
10000,500,0.032811,3047,3375.1,6.5995,,
10000,550,0.035655,3145.4,3502,6.7585,,
10000,600,0.038378,3242,3625.8,6.9045,,
10000,650,0.041018,3338,3748.1,7.0408,,
10000,700,0.043597,3434,3870,7.1693,,
10000,800,0.048629,3628.2,4114.5,7.4085,,
10000,900,0.053547,3826.5,4362,7.629,,
10000,1000,0.058391,4029.9,4613.8,7.8349,,
10000,1100,0.063183,4238.5,4870.3,8.0289,,
10000,1200,0.067938,4452.4,5131.7,8.2126,,
10000,1300,0.072667,4671.3,5398,8.3874,,
12500,327.81,0.013496,2505.6,2674.3,5.4638,,
12500,350,0.016138,2624.9,2826.6,5.713,,
12500,400,0.02003,2789.6,3040,6.0433,,
12500,450,0.023019,2913.7,3201.5,6.2749,,
12500,500,0.02563,3023.2,3343.6,6.4651,,
12500,550,0.028033,3126.1,3476.5,6.6317,,
12500,600,0.030306,3225.8,3604.6,6.7828,,
12500,650,0.032491,3324.1,3730.2,6.9227,,
12500,700,0.034612,3422,3854.6,7.054,,
12500,800,0.038724,3618.8,4102.8,7.2967,,
12500,900,0.04272,3818.9,4352.9,7.5195,,
12500,1000,0.046641,4023.5,4606.5,7.7269,,
12500,1100,0.05051,4233.1,4864.5,7.922,,
12500,1200,0.054342,4447.7,5127,8.1065,,
12500,1300,0.058147,4667.3,5394.1,8.2819,,
15000,342.16,0.010341,2455.7,2610.8,5.3108,,
15000,350,0.011481,2520.9,2693.1,5.4438,,
15000,400,0.015671,2740.6,2975.7,5.8819,,
15000,450,0.018477,2880.8,3157.9,6.1434,,
15000,500,0.020828,2998.4,3310.8,6.348,,
15000,550,0.022945,3106.2,3450.4,6.523,,
15000,600,0.024921,3209.3,3583.1,6.6796,,
15000,650,0.026804,3310.1,3712.1,6.8233,,
15000,700,0.028621,3409.8,3839.1,6.9573,,
15000,800,0.032121,3609.3,4091.1,7.2037,,
15000,900,0.035503,3811.2,4343.7,7.4288,,
15000,1000,0.038808,4017.1,4599.2,7.6378,,
15000,1100,0.042062,4227.7,4858.6,7.8339,,
15000,1200,0.045279,4443.1,5122.3,8.0192,,
15000,1300,0.048469,4663.3,5390.3,8.1952,,
17500,354.67,0.007932,2390.7,2529.5,5.1435,,
17500,400,0.012463,2684.3,2902.4,5.7211,,
17500,450,0.015204,2845.4,3111.4,6.0212,,
17500,500,0.017385,2972.4,3276.7,6.2424,,
17500,550,0.019305,3085.8,3423.6,6.4266,,
17500,600,0.021073,3192.5,3561.3,6.589,,
17500,650,0.022742,3295.8,3693.8,6.7366,,
17500,700,0.024342,3397.5,3823.5,6.8735,,
17500,800,0.027405,3599.7,4079.3,7.1237,,
17500,900,0.030348,3803.5,4334.6,7.3511,,
17500,1000,0.033215,4010.7,4592,7.5616,,
17500,1100,0.036029,4222.3,4852.8,7.7588,,
17500,1200,0.038806,4438.5,5117.6,7.9449,,
17500,1300,0.041556,4659.2,5386.5,8.1215,,
20000,365.75,0.005862,2294.8,2412.1,4.931,,
20000,400,0.00995,2617.9,2816.9,5.5526,,
20000,450,0.012721,2807.3,3061.7,5.9043,,
20000,500,0.014793,2945.3,3241.2,6.1446,,
20000,550,0.016571,3064.7,3396.2,6.339,,
20000,600,0.018185,3175.3,3539,6.5075,,
20000,650,0.019695,3281.4,3675.3,6.6593,,
20000,700,0.021134,3385.1,3807.8,6.7991,,
20000,800,0.02387,3590.1,4067.5,7.0531,,
20000,900,0.026484,3795.7,4325.4,7.2829,,
20000,1000,0.02902,4004.3,4584.7,7.495,,
20000,1100,0.031504,4216.9,4847,7.6933,,
20000,1200,0.033952,4433.8,5112.9,7.8802,,
20000,1300,0.036371,4655.2,5382.7,8.0574,,
25000,375,0.001978,1799.9,1849.4,4.0345,,
25000,400,0.006005,2428.5,2578.7,5.14,,
25000,425,0.007886,2607.8,2805,5.4708,,
25000,450,0.009176,2721.2,2950.6,5.6759,,
25000,500,0.011143,2887.3,3165.9,5.9643,,
25000,550,0.012736,3020.8,3339.2,6.1816,,
25000,600,0.01414,3140,3493.5,6.3637,,
25000,650,0.01543,3251.9,3637.7,6.5243,,
25000,700,0.016643,3359.9,3776,6.6702,,
25000,800,0.018922,3570.7,4043.8,6.9322,,
25000,900,0.021075,3780.2,4307.1,7.1668,,
25000,1000,0.02315,3991.5,4570.2,7.3821,,
25000,1100,0.025172,4206.1,4835.4,7.5825,,
25000,1200,0.027157,4424.6,5103.5,7.771,,
25000,1300,0.029115,4647.2,5375.1,7.9494,,
30000,375,0.001792,1738.1,1791.9,3.9313,,
30000,400,0.002798,2068.9,2152.8,4.4758,,
30000,425,0.005299,2452.9,2611.8,5.1473,,
30000,450,0.006737,2618.9,2821,5.4422,,
30000,500,0.008691,2824,3084.8,5.7956,,
30000,550,0.010175,2974.5,3279.7,6.0403,,
30000,600,0.011445,3103.4,3446.8,6.2373,,
30000,650,0.01259,3221.7,3599.4,6.4074,,
30000,700,0.013654,3334.3,3743.9,6.5599,,
30000,800,0.015628,3551.2,4020,6.8301,,
30000,900,0.017473,3764.6,4288.8,7.0695,,
30000,1000,0.01924,3978.6,4555.8,7.288,,
30000,1100,0.020954,4195.2,4823.9,7.4906,,
30000,1200,0.02263,4415.3,5094.2,7.6807,,
30000,1300,0.024279,4639.2,5367.6,7.8602,,
35000,375,0.001701,1702.8,1762.4,3.8724,,
35000,400,0.002105,1914.9,1988.6,4.2144,,
35000,425,0.003434,2253.3,2373.5,4.7751,,
35000,450,0.004957,2497.5,2671,5.1946,,
35000,500,0.006933,2755.3,2997.9,5.6331,,
35000,550,0.008348,2925.8,3218,5.9093,,
35000,600,0.009523,3065.6,3399,6.1229,,
35000,650,0.010565,3190.9,3560.7,6.303,,
35000,700,0.011523,3308.3,3711.6,6.4623,,
35000,800,0.013278,3531.6,3996.3,6.7409,,
35000,900,0.014904,3749,4270.6,6.9853,,
35000,1000,0.01645,3965.8,4541.5,7.2069,,
35000,1100,0.017942,4184.4,4812.4,7.4118,,
35000,1200,0.019398,4406.1,5085,7.6034,,
35000,1300,0.020827,4631.2,5360.2,7.7841,,
40000,375,0.001641,1677,1742.6,3.829,,
40000,400,0.001911,1855,1931.4,4.1145,,
40000,425,0.002538,2097.5,2199,4.5044,,
40000,450,0.003692,2364.2,2511.8,4.9449,,
40000,500,0.005623,2681.6,2906.5,5.4744,,
40000,550,0.006985,2875.1,3154.4,5.7857,,
40000,600,0.008089,3026.8,3350.4,6.017,,
40000,650,0.009053,3159.5,3521.6,6.2078,,
40000,700,0.00993,3282,3679.2,6.374,,
40000,800,0.011521,3511.8,3972.6,6.6613,,
40000,900,0.01298,3733.3,4252.5,6.9107,,
40000,1000,0.01436,3952.9,4527.3,7.1355,,
40000,1100,0.015686,4173.7,4801.1,7.3425,,
40000,1200,0.016976,4396.9,5075.9,7.5357,,
40000,1300,0.018239,4623.3,5352.8,7.7175,,
50000,375,0.00156,1638.6,1716.6,3.7642,,
50000,400,0.001731,1787.8,1874.4,4.0029,,
50000,425,0.002009,1960.3,2060.7,4.2746,,
50000,450,0.002487,2160.3,2284.7,4.5896,,
50000,500,0.00389,2528.1,2722.6,5.1762,,
50000,550,0.005118,2769.5,3025.4,5.5563,,
50000,600,0.006108,2947.1,3252.6,5.8245,,
